Statistical profiling result from isolate-0x1f776000-4128116-v8.log, (1074 ticks, 9 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    599   55.8%          /usr/local/google/home/adibakm/.local/share/nvm/v25.0.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
     19    1.8%    4.0%  Builtin: LoadICBaseline
     13    1.2%    2.7%  Builtin: LoadIC_NoFeedback
      8    0.7%    1.7%  Builtin: InterpreterEntryTrampoline
      8    0.7%    1.7%  Builtin: BaselineOutOfLinePrologue
      7    0.7%    1.5%  JS: +decode file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:195:16
      7    0.7%    1.5%  Builtin: CallFunction_ReceiverIsAny
      6    0.6%    1.3%  JS: +SegmentObject file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:779:23
      6    0.6%    1.3%  Builtin: Call_ReceiverIsAny
      5    0.5%    1.1%  Builtin: StrictEqual_Baseline
      5    0.5%    1.1%  Builtin: KeyedLoadIC_Megamorphic
      5    0.5%    1.1%  Builtin: KeyedLoadIC
      5    0.5%    1.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      4    0.4%    0.8%  JS: +addUneditedChunk file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:3251:18
      4    0.4%    0.8%  Builtin: StringPrototypeSlice
      4    0.4%    0.8%  Builtin: Call_ReceiverIsNullOrUndefined
      3    0.3%    0.6%  JS: +addSegmentInternal file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:714:28
      3    0.3%    0.6%  Builtin: StringAdd_CheckNone
      3    0.3%    0.6%  Builtin: StoreIC_NoFeedback
      3    0.3%    0.6%  Builtin: RegExpPrototypeTest
      3    0.3%    0.6%  Builtin: KeyedStoreIC
      2    0.2%    0.4%  JS: ~_fetchModule file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite-node/dist/server.mjs:337:20
      2    0.2%    0.4%  JS: +wrappedFn node:internal/errors:541:21
      2    0.2%    0.4%  JS: +traceMappings file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:804:23
      2    0.2%    0.4%  JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      2    0.2%    0.4%  Builtin: LessThan_Baseline
      2    0.2%    0.4%  Builtin: GrowFastSmiOrObjectElements
      2    0.2%    0.4%  Builtin: CreateShallowObjectLiteral
      2    0.2%    0.4%  Builtin: CreateShallowArrayLiteral
      2    0.2%    0.4%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      2    0.2%    0.4%  Builtin: Call_ReceiverIsNotNullOrUndefined
      2    0.2%    0.4%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      1    0.1%    0.2%  RegExp: ^([\w+.-]+:)\/\/([^@/#?]*@)?([^:/#?]*)(:\d+)?(\/[^#?]*)?(\?[^#]*)?(#.*)?
      1    0.1%    0.2%  JS: ~withInlineSourcemap file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite-node/dist/source-map.mjs:922:29
      1    0.1%    0.2%  JS: ~parse.fastpaths /usr/local/google/home/adibakm/gemini-cli/node_modules/vite/node_modules/picomatch/lib/parse.js:999:19
      1    0.1%    0.2%  JS: ~packageExportsResolve node:internal/modules/esm/resolve:587:31
      1    0.1%    0.2%  JS: ~initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      1    0.1%    0.2%  JS: ~init file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.X0nbfr6-.js:396:15
      1    0.1%    0.2%  JS: ~createIsConfiguredAsExternal file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:11506:38
      1    0.1%    0.2%  JS: ~buildOrContext /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:659:24
      1    0.1%    0.2%  JS: ~_shouldExternalize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite-node/dist/server.mjs:134:34
      1    0.1%    0.2%  JS: ~StringDecoder node:string_decoder:60:23
      1    0.1%    0.2%  JS: ~<anonymous> node:internal/abort_controller:1:1
      1    0.1%    0.2%  JS: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.VByaPkjc.js:830:15
      1    0.1%    0.2%  JS: ~<anonymous> /usr/local/google/home/adibakm/gemini-cli/node_modules/debug/src/node.js:124:55
      1    0.1%    0.2%  JS: ^wrapModuleLoad node:internal/modules/cjs/loader:237:24
      1    0.1%    0.2%  JS: ^variableDeclaration file:///usr/local/google/home/adibakm/gemini-cli/node_modules/rollup/dist/es/shared/parseAst.js:1991:33
      1    0.1%    0.2%  JS: ^validateDecoder node:internal/encoding:69:25
      1    0.1%    0.2%  JS: ^statSync node:fs:1700:18
      1    0.1%    0.2%  JS: ^resolve node:path:1245:10
      1    0.1%    0.2%  JS: ^realpathSync node:fs:2676:22
      1    0.1%    0.2%  JS: ^readFromStdout /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:563:24
      1    0.1%    0.2%  JS: ^processPromiseRejections node:internal/process/promises:377:34
      1    0.1%    0.2%  JS: ^normalizeSpawnArguments node:child_process:567:33
      1    0.1%    0.2%  JS: ^next node:internal/per_context/primordials:333:9
      1    0.1%    0.2%  JS: ^getStatsFromBinding node:internal/fs/utils:550:29
      1    0.1%    0.2%  JS: ^enter file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:19069:8
      1    0.1%    0.2%  JS: ^encode$1 file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:250:18
      1    0.1%    0.2%  JS: ^emit node:events:455:44
      1    0.1%    0.2%  JS: ^decode file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:195:16
      1    0.1%    0.2%  JS: ^addSegmentInternal file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:714:28
      1    0.1%    0.2%  JS: ^<anonymous> node:internal/validators:139:40
      1    0.1%    0.2%  JS: ^#link node:internal/modules/esm/module_job:179:14
      1    0.1%    0.2%  JS: +visit file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:18755:7
      1    0.1%    0.2%  JS: +traceSegment file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:573:22
      1    0.1%    0.2%  JS: +normalizeString node:path:92:25
